 Run datum (DD-MM-YY) and time: 5-10-2022   8:54

 Case name                                     



 Maxima per event

 Event   Start     Node identification   Node           Maximum_flow  
  nr  year-mon-day                       name               [m3/s]
===========================================================================
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        2.224
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        1.430
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        1.376
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.419
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.130
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.088
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.461
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.021
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.020
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.116
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.078
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.005
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.011
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.019
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.000
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.015
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.001
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.000
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.028
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.051
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.020
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.004
   1 1951 Jan   1   ucBOOM_EN_FRUITKWEKE ucBOOM_EN_FRUIT        0.001
