date time,[Input]measUpSW-S570/Water level (op),[SP]Control group of SW-S570/CTR_SW-S570,[Output]SW-S570/Crest level (s),[Status]Control group of SW-S570/CTR_SW-S570,[IntervalRule]Control group of SW-S570/CTR_SW-S570_isActive
2017-06-11 19:00:00,-0.0803407801184,-99,-52.38,1,1
2017-06-11 20:00:00,-0.0599065702755,-99,-52.2,1,1
2017-06-11 21:00:00,-0.0701348274156,-99,-52.02,1,1
2017-06-11 22:00:00,-0.0798198659875,-99,-51.84,1,1
2017-06-11 23:00:00,-0.119691476511,-99,-51.66,1,1
2017-06-12 00:00:00,-0.139468805573,-99,-51.48,1,1
2017-06-12 01:00:00,-0.109214681014,-99,-51.3,1,1
2017-06-12 02:00:00,-0.060467566788,-99,-51.12,1,1
2017-06-12 03:00:00,-0.0306354709976,-99,-50.94,1,1
2017-06-12 04:00:00,-0.0204838098633,-99,-50.76,1,1
2017-06-12 05:00:00,-0.01004101767,-99,-50.58,1,1
2017-06-12 06:00:00,0.0101880716321,-99,-50.4,1,1
2017-06-12 07:00:00,0.0300006926875,-99,-50.22,1,1
2017-06-12 08:00:00,0.0198741921954,-99,-50.04,1,1
2017-06-12 09:00:00,0.0100794239968,-99,-49.86,1,1
2017-06-12 10:00:00,0.000335420480182,-99,-49.68,1,1
2017-06-12 11:00:00,0.0102984369277,-99,-49.5,1,1
2017-06-12 12:00:00,0.0299470506872,-99,-49.32,1,1
2017-06-12 13:00:00,0.0398298853396,-99,-49.14,1,1
2017-06-12 14:00:00,0.039833667152,-99,-48.96,1,1
2017-06-12 15:00:00,0.0299553271384,-99,-48.78,1,1
2017-06-12 16:00:00,0.0201901766431,-99,-48.6,1,1
2017-06-12 17:00:00,0.0503100568731,-99,-48.42,1,1
2017-06-12 18:00:00,0.0597463593078,-99,-48.24,1,1
2017-06-12 19:00:00,0.0497698483409,-99,-48.06,1,1
2017-06-12 20:00:00,0.010326322011,-99,-47.88,1,1
2017-06-12 21:00:00,-0.0195103326368,-99,-47.7,1,1
2017-06-12 22:00:00,-0.0495566467928,-99,-47.52,1,1
2017-06-12 23:00:00,-0.0697851638659,-99,-47.34,1,1
2017-06-13 00:00:00,-0.0899498414887,-99,-47.16,1,1
2017-06-13 01:00:00,-0.0999733050857,-99,-46.98,1,1
2017-06-13 02:00:00,-0.0999974764215,-99,-46.8,1,1
2017-06-13 03:00:00,-0.0900064927218,-99,-46.62,1,1
2017-06-13 04:00:00,-0.0902834918808,-99,-46.44,1,1
2017-06-13 05:00:00,-0.0901281947756,-99,-46.26,1,1
2017-06-13 06:00:00,-0.100110254971,-99,-46.08,1,1
2017-06-13 07:00:00,-0.0896619408392,-99,-45.9,1,1
2017-06-13 08:00:00,-0.0900663104159,-99,-45.72,1,1
2017-06-13 09:00:00,-0.0798588817027,-99,-45.54,1,1
2017-06-13 10:00:00,-0.059894369128,-99,-45.36,1,1
2017-06-13 11:00:00,-0.0602432855472,-99,-45.18,1,1
2017-06-13 12:00:00,-0.0802941611193,-99,-45,1,1
2017-06-13 13:00:00,-0.100176677935,-99,-44.82,1,1
2017-06-13 14:00:00,-0.109968317693,-99,-44.64,1,1
2017-06-13 15:00:00,-0.0792683804327,-99,-44.46,1,1
2017-06-13 16:00:00,-0.0502088223186,-99,-44.28,1,1
2017-06-13 17:00:00,-0.0301399064262,-99,-44.1,1,1
2017-06-13 18:00:00,-0.0403361639129,-99,-43.92,1,1
2017-06-13 19:00:00,-0.0803462117841,-99,-43.74,1,1
2017-06-13 20:00:00,-0.111007744053,-99,-43.56,1,1
2017-06-13 21:00:00,-0.129886886513,-99,-43.38,1,1
2017-06-13 22:00:00,-0.139972988855,-99,-43.2,1,1
2017-06-13 23:00:00,-0.160129806287,-99,-43.02,1,1
2017-06-14 00:00:00,-0.169934135578,-99,-42.84,1,1
2017-06-14 01:00:00,-0.190053732095,-99,-42.66,1,1
2017-06-14 02:00:00,-0.189803200754,-99,-42.48,1,1
2017-06-14 03:00:00,-0.169524212179,-99,-42.3,1,1
2017-06-14 04:00:00,-0.159982733768,-99,-42.12,1,1
2017-06-14 05:00:00,-0.150060053239,-99,-41.94,1,1
2017-06-14 06:00:00,-0.150069033544,-99,-41.76,1,1
2017-06-14 07:00:00,-0.149968423688,-99,-41.58,1,1
2017-06-14 08:00:00,-0.150057321754,-99,-41.4,1,1
2017-06-14 09:00:00,-0.150015824607,-99,-41.22,1,1
2017-06-14 10:00:00,-0.17020730342,-99,-41.04,1,1
2017-06-14 11:00:00,-0.190066936707,-99,-40.86,1,1
2017-06-14 12:00:00,-0.209933272405,-99,-40.68,1,1
2017-06-14 13:00:00,-0.199540230468,-99,-40.5,1,1
2017-06-14 14:00:00,-0.169716991023,-99,-40.32,1,1
2017-06-14 15:00:00,-0.160057937936,-99,-40.14,1,1
2017-06-14 16:00:00,-0.140058799723,-99,-39.96,1,1
2017-06-14 17:00:00,-0.130163223402,-99,-39.78,1,1
2017-06-14 18:00:00,-0.120042233947,-99,-39.6,1,1
2017-06-14 19:00:00,-0.13036141055,-99,-39.42,1,1
2017-06-14 20:00:00,-0.150103466019,-99,-39.24,1,1
2017-06-14 21:00:00,-0.149867819181,-99,-39.06,1,1
2017-06-14 22:00:00,-0.139822022716,-99,-38.88,1,1
2017-06-14 23:00:00,-0.150115477054,-99,-38.7,1,1
2017-06-15 00:00:00,-0.190147823671,-99,-38.52,1,1
2017-06-15 01:00:00,-0.229955425298,-99,-38.34,1,1
2017-06-15 02:00:00,-0.260329072725,-99,-38.16,1,1
2017-06-15 03:00:00,-0.249767566771,-99,-37.98,1,1
2017-06-15 04:00:00,-0.239946758666,-99,-37.8,1,1
2017-06-15 05:00:00,-0.230023265616,-99,-37.62,1,1
2017-06-15 06:00:00,-0.240227296461,-99,-37.44,1,1
2017-06-15 07:00:00,-0.229948998569,-99,-37.26,1,1
2017-06-15 08:00:00,-0.219964014094,-99,-37.08,1,1
2017-06-15 09:00:00,-0.199837393903,-99,-36.9,1,1
2017-06-15 10:00:00,-0.180084596379,-99,-36.72,1,1
2017-06-15 11:00:00,-0.180238092472,-99,-36.54,1,1
2017-06-15 12:00:00,-0.18012199904,-99,-36.36,1,1
2017-06-15 13:00:00,-0.180063916798,-99,-36.18,1,1
2017-06-15 14:00:00,-0.16992033838,-99,-36,1,1
2017-06-15 15:00:00,-0.110119917775,-99,-35.82,1,1
2017-06-15 16:00:00,-0.0589363897986,-99,-35.64,1,1
2017-06-15 17:00:00,-0.00995932032373,-99,-35.46,1,1
2017-06-15 18:00:00,0.020414575803,-99,-35.28,1,1
2017-06-15 19:00:00,0.0201119410039,-99,-35.1,1,1
2017-06-15 20:00:00,-0.0207210956493,-99,-34.92,1,1
2017-06-15 21:00:00,-0.0696177004849,-99,-34.74,1,1
2017-06-15 22:00:00,-0.118860605447,-99,-34.56,1,1
2017-06-15 23:00:00,-0.11963694183,-99,-34.38,1,1
2017-06-16 00:00:00,-0.0896701615261,-99,-34.2,1,1
2017-06-16 01:00:00,-0.0500275022937,-99,-34.02,1,1
2017-06-16 02:00:00,-0.0504029918629,-99,-33.84,1,1
2017-06-16 03:00:00,-0.0909768939463,-99,-33.66,1,1
2017-06-16 04:00:00,-0.120916385528,-99,-33.48,1,1
2017-06-16 05:00:00,-0.0995420544136,-99,-33.3,1,1
2017-06-16 06:00:00,-0.059767549217,-99,-33.12,1,1
2017-06-16 07:00:00,-0.0303772526261,-99,-32.94,1,1
2017-06-16 08:00:00,-0.0203322611986,-99,-32.76,1,1
2017-06-16 09:00:00,-0.000226245372012,-99,-32.58,1,1
2017-06-16 10:00:00,0.0300544253069,-99,-32.4,1,1
2017-06-16 11:00:00,0.0600148763244,-99,-32.22,1,1
2017-06-16 12:00:00,0.0395699056883,-99,-32.04,1,1
2017-06-16 13:00:00,0.0196259264023,-99,-31.86,1,1
2017-06-16 14:00:00,0.000135469472631,-99,-31.68,1,1
2017-06-16 15:00:00,0.0308430776903,-99,-31.5,1,1
2017-06-16 16:00:00,0.0592142651138,-99,-31.32,1,1
2017-06-16 17:00:00,0.0695815683957,-99,-31.14,1,1
2017-06-16 18:00:00,0.0492129589166,-99,-30.96,1,1
2017-06-16 19:00:00,0.0198975911751,-99,-30.78,1,1
2017-06-16 20:00:00,0.000204370458346,-99,-30.6,1,1
2017-06-16 21:00:00,-0.0198184681747,-99,-30.42,1,1
2017-06-16 22:00:00,-0.0399914685577,-99,-30.24,1,1
2017-06-16 23:00:00,-0.0700327257692,-99,-30.06,1,1
2017-06-17 00:00:00,-0.0898185653268,-99,-29.88,1,1
2017-06-17 01:00:00,-0.10988791974,-99,-29.7,1,1
2017-06-17 02:00:00,-0.119892352541,-99,-29.52,1,1
2017-06-17 03:00:00,-0.129979727881,-99,-29.34,1,1
2017-06-17 04:00:00,-0.119699895374,-99,-29.16,1,1
2017-06-17 05:00:00,-0.100001378395,-99,-28.98,1,1
2017-06-17 06:00:00,-0.0702702258219,-99,-28.8,1,1
2017-06-17 07:00:00,-0.0602010222025,-99,-28.62,1,1
2017-06-17 08:00:00,-0.0601414496776,-99,-28.44,1,1
2017-06-17 09:00:00,-0.0905030068198,-99,-28.26,1,1
2017-06-17 10:00:00,-0.129772989005,-99,-28.08,1,1
2017-06-17 11:00:00,-0.129678062955,-99,-27.9,1,1
2017-06-17 12:00:00,-0.119741313611,-99,-27.72,1,1
2017-06-17 13:00:00,-0.0997050910983,-99,-27.54,1,1
2017-06-17 14:00:00,-0.0901024486167,-99,-27.36,1,1
2017-06-17 15:00:00,-0.0901999252524,-99,-27.18,1,1
2017-06-17 16:00:00,-0.0900635204439,-99,-27,1,1
2017-06-17 17:00:00,-0.0899644150519,-99,-26.82,1,1
2017-06-17 18:00:00,-0.100141700243,-99,-26.64,1,1
2017-06-17 19:00:00,-0.0797869998997,-99,-26.46,1,1
2017-06-17 20:00:00,-0.0600197750641,-99,-26.28,1,1
2017-06-17 21:00:00,-0.0601259794392,-99,-26.1,1,1
2017-06-17 22:00:00,-0.0803237117892,-99,-25.92,1,1
2017-06-17 23:00:00,-0.130062315114,-99,-25.74,1,1
2017-06-18 00:00:00,-0.170913495277,-99,-25.56,1,1
2017-06-18 01:00:00,-0.200070695183,-99,-25.38,1,1
2017-06-18 02:00:00,-0.189542300048,-99,-25.2,1,1
